virus,reference,hi
a/california/07/2009,a/california/07/2009,1030.93165143156
a/california/07/2009,a/bayern/69/2009,696.0949103073218
a/california/07/2009,a/lviv/n6/2009,733.624389320175
a/california/07/2009,a/christchurch/16/2010,407.1412880937399
a/california/07/2009,a/hong_kong/3934/2011,344.41130797401496
a/california/07/2009,a/astrakhan/1/2011,576.8002960709321
a/california/07/2009,a/st._petersburg/27/2011,424.02005770502393
a/california/07/2009,a/st._petersburg/100/2011,927.4587856138911
a/california/07/2009,a/hong_kong/5659/2012,602.6693530877462
a/california/07/2009,a/south_africa/3626/2013,574.3069040009946
a/california/07/2009,a/slovenia/2903/2015,1608.8621484490225
a/california/07/2009,a/michigan/45/2015,808.871058976513
a/california/07/2009,a/israel/q_504/2015,1210.9537878087622
a/california/07/2009,a/paris/1447/2017,1751.4196009157752
a/california/07/2009,a/switzerland/2656/2017,1028.3663700056093
a/california/07/2009,a/switzerland/3330/2017,428.4493123918309
a/california/07/2009,a/new_jersey/13/2018,1279.9999999999998
a/california/07/2009,a/slovenia/2794/2017,1279.9999999999998
a/california/07/2009,a/hong_kong/4989/2017,319.99999999999994
a/california/07/2009,a/michigan/272/2017,639.9999999999999
a/california/07/2009,a/california/4/2009,1470.3338943962049
a/california/07/2009,a/england/195/2009,1940.1172051333094
a/california/07/2009,a/auckland/3/2009,2388.564458334229
a/california/07/2009,a/norway/3433/2018,1436.7514218359963
a/california/07/2009,a/ireland/84630/2018,1279.9999999999998
a/california/07/2009,a/new_jersey/8/1976,806.3494719327185
a/california/07/2009,a/hong_kong/90/2016,2560.0
a/california/07/2009,a/ukraine/6907/2015,639.9999999999999
a/california/07/2009,a/hong_kong/2212/2010,1810.193359837565
a/california/07/2009,a/hong_kong/2200/2010,1279.9999999999998
a/california/07/2009,a/england/87/2010,5120.0
a/california/07/2009,a/england/106/2010,2560.0
a/california/07/2009,a/dominican_republic/7293/2013,1279.9999999999998
a/california/07/2009,a/voronezh/01/2011,639.9999999999999
a/california/07/2009,a/narita/1/2009,5120.0
a/california/07/2009,a/ohio/2/2007,5120.0
a/california/07/2009,a/brisbane/59/2007,40.0
a/bayern/69/2009,a/california/07/2009,84.22551972631543
a/bayern/69/2009,a/bayern/69/2009,336.10342365047023
a/bayern/69/2009,a/lviv/n6/2009,222.01324445551546
a/bayern/69/2009,a/christchurch/16/2010,74.95282765323066
a/bayern/69/2009,a/hong_kong/3934/2011,45.85152433251096
a/bayern/69/2009,a/astrakhan/1/2011,55.59134683132818
a/bayern/69/2009,a/st._petersburg/27/2011,55.260846761026876
a/bayern/69/2009,a/st._petersburg/100/2011,59.017838312331435
a/bayern/69/2009,a/hong_kong/5659/2012,53.89803057625366
a/bayern/69/2009,a/south_africa/3626/2013,60.56251831627283
a/bayern/69/2009,a/slovenia/2903/2015,54.43160000697507
a/bayern/69/2009,a/michigan/45/2015,53.15687929897011
a/bayern/69/2009,a/israel/q_504/2015,43.56856725449567
a/bayern/69/2009,a/paris/1447/2017,198.8975345833423
a/bayern/69/2009,a/switzerland/2656/2017,96.24200288656924
a/bayern/69/2009,a/switzerland/3330/2017,70.88089523309885
a/bayern/69/2009,a/new_jersey/13/2018,40.0
a/bayern/69/2009,a/slovenia/2794/2017,79.99999999999997
a/bayern/69/2009,a/hong_kong/4989/2017,79.99999999999997
a/bayern/69/2009,a/michigan/272/2017,40.0
a/bayern/69/2009,a/california/4/2009,79.99999999999997
a/bayern/69/2009,a/england/195/2009,85.74187700290334
a/bayern/69/2009,a/auckland/3/2009,88.76555776542753
a/bayern/69/2009,a/norway/3433/2018,270.0401538383358
a/bayern/69/2009,a/ireland/84630/2018,40.635123324222036
a/bayern/69/2009,a/brisbane/02/2018,93.1471866119467
a/bayern/69/2009,a/hong_kong/110/2019,40.0
a/bayern/69/2009,a/greece/144/2019,79.99999999999997
a/bayern/69/2009,a/switzerland/4217/2019,79.99999999999997
a/bayern/69/2009,a/new_jersey/8/1976,160.00000000000009
a/bayern/69/2009,a/hong_kong/90/2016,40.0
a/bayern/69/2009,a/ukraine/6907/2015,40.0
a/bayern/69/2009,a/hong_kong/2212/2010,131.25365696122182
a/bayern/69/2009,a/hong_kong/2200/2010,113.13708498984757
a/bayern/69/2009,a/england/87/2010,159.99999999999994
a/bayern/69/2009,a/england/106/2010,319.99999999999994
a/bayern/69/2009,a/dominican_republic/7293/2013,40.0
a/bayern/69/2009,a/denmark/3280/2019,40.0
a/bayern/69/2009,a/ireland/87733/2019,40.0
a/bayern/69/2009,a/guangdong_maonan/swl1536/2019,40.0
a/bayern/69/2009,a/voronezh/01/2011,40.0
a/bayern/69/2009,a/hong_kong/2655/2019,40.0
a/lviv/n6/2009,a/california/07/2009,235.42798723903888
a/lviv/n6/2009,a/bayern/69/2009,994.2889166281832
a/lviv/n6/2009,a/lviv/n6/2009,895.8790507544165
a/lviv/n6/2009,a/christchurch/16/2010,233.7684854859973
a/lviv/n6/2009,a/hong_kong/3934/2011,97.96780335073008
a/lviv/n6/2009,a/astrakhan/1/2011,110.75299002805195
a/lviv/n6/2009,a/st._petersburg/27/2011,147.50746365322868
a/lviv/n6/2009,a/st._petersburg/100/2011,135.72268094630311
a/lviv/n6/2009,a/hong_kong/5659/2012,202.12968420051735
a/lviv/n6/2009,a/south_africa/3626/2013,112.82876315256034
a/lviv/n6/2009,a/slovenia/2903/2015,178.2160734651097
a/lviv/n6/2009,a/michigan/45/2015,115.2197230031007
a/lviv/n6/2009,a/israel/q_504/2015,115.85485319924989
a/lviv/n6/2009,a/paris/1447/2017,574.1570443354734
a/lviv/n6/2009,a/switzerland/2656/2017,339.02819019497446
a/lviv/n6/2009,a/switzerland/3330/2017,211.12126572366284
a/lviv/n6/2009,a/new_jersey/13/2018,319.99999999999994
a/lviv/n6/2009,a/slovenia/2794/2017,159.99999999999994
a/lviv/n6/2009,a/hong_kong/4989/2017,319.99999999999994
a/lviv/n6/2009,a/michigan/272/2017,319.99999999999994
a/lviv/n6/2009,a/california/4/2009,342.96750801161375
a/lviv/n6/2009,a/england/195/2009,159.99999999999994
a/lviv/n6/2009,a/auckland/3/2009,149.285278645889
a/lviv/n6/2009,a/norway/3433/2018,918.8383265084484
a/lviv/n6/2009,a/ireland/84630/2018,152.08745676728242
a/lviv/n6/2009,a/brisbane/02/2018,319.99999999999994
a/lviv/n6/2009,a/hong_kong/110/2019,40.0
a/lviv/n6/2009,a/greece/144/2019,79.99999999999997
a/lviv/n6/2009,a/switzerland/4217/2019,159.99999999999994
a/lviv/n6/2009,a/new_jersey/8/1976,160.00000000000009
a/lviv/n6/2009,a/hong_kong/90/2016,79.99999999999997
a/lviv/n6/2009,a/ukraine/6907/2015,79.99999999999997
a/lviv/n6/2009,a/hong_kong/2212/2010,452.5483399593903
a/lviv/n6/2009,a/hong_kong/2200/2010,319.99999999999994
a/lviv/n6/2009,a/england/87/2010,159.99999999999994
a/lviv/n6/2009,a/england/106/2010,1279.9999999999998
a/lviv/n6/2009,a/dominican_republic/7293/2013,79.99999999999997
a/lviv/n6/2009,a/voronezh/01/2011,159.99999999999994
a/lviv/n6/2009,a/hong_kong/2655/2019,159.99999999999994
a/christchurch/16/2010,a/california/07/2009,1515.7651574291735
a/christchurch/16/2010,a/bayern/69/2009,1612.6989438654414
a/christchurch/16/2010,a/lviv/n6/2009,1962.660281177092
a/christchurch/16/2010,a/christchurch/16/2010,4547.909794186713
a/christchurch/16/2010,a/hong_kong/3934/2011,1743.8762379474892
a/christchurch/16/2010,a/astrakhan/1/2011,2027.4905808373587
a/christchurch/16/2010,a/st._petersburg/27/2011,1296.3833835478188
a/christchurch/16/2010,a/st._petersburg/100/2011,3575.0464632015983
a/christchurch/16/2010,a/hong_kong/5659/2012,2490.680297488801
a/christchurch/16/2010,a/south_africa/3626/2013,1597.863102594064
a/christchurch/16/2010,a/slovenia/2903/2015,2416.318240465137
a/christchurch/16/2010,a/california/4/2009,2031.873346519296
a/christchurch/16/2010,a/england/195/2009,2700.2011557930186
a/christchurch/16/2010,a/auckland/3/2009,3004.0587776118487
a/christchurch/16/2010,a/israel/q_504/2015,1940.1172051333094
a/christchurch/16/2010,a/hong_kong/90/2016,2560.0
a/christchurch/16/2010,a/ukraine/6907/2015,639.9999999999999
a/christchurch/16/2010,a/hong_kong/2212/2010,2826.4691550049633
a/christchurch/16/2010,a/hong_kong/2200/2010,3620.3867196751203
a/christchurch/16/2010,a/england/87/2010,5120.0
a/christchurch/16/2010,a/england/106/2010,5120.0
a/christchurch/16/2010,a/dominican_republic/7293/2013,1279.9999999999998
a/christchurch/16/2010,a/voronezh/01/2011,2560.0
a/hong_kong/3934/2011,a/california/07/2009,549.2578827443709
a/hong_kong/3934/2011,a/bayern/69/2009,213.7585835192994
a/hong_kong/3934/2011,a/lviv/n6/2009,462.15440541038026
a/hong_kong/3934/2011,a/christchurch/16/2010,404.6104113710373
a/hong_kong/3934/2011,a/hong_kong/3934/2011,1070.7102012554965
a/hong_kong/3934/2011,a/astrakhan/1/2011,934.9873882756149
a/hong_kong/3934/2011,a/st._petersburg/27/2011,787.1176921152044
a/hong_kong/3934/2011,a/st._petersburg/100/2011,1612.6989438654357
a/hong_kong/3934/2011,a/hong_kong/5659/2012,1311.5124741431653
a/hong_kong/3934/2011,a/south_africa/3626/2013,715.7035956554463
a/hong_kong/3934/2011,a/dominican_republic/7293/2013,1279.9999999999998
a/hong_kong/3934/2011,a/england/195/2009,639.9999999999999
a/hong_kong/3934/2011,a/auckland/3/2009,905.0966799187808
a/hong_kong/3934/2011,a/hong_kong/2212/2010,452.5483399593903
a/hong_kong/3934/2011,a/voronezh/01/2011,639.9999999999999
a/astrakhan/1/2011,a/california/07/2009,917.1753541942917
a/astrakhan/1/2011,a/bayern/69/2009,594.846054792647
a/astrakhan/1/2011,a/lviv/n6/2009,547.0044493907013
a/astrakhan/1/2011,a/christchurch/16/2010,723.0010944333349
a/astrakhan/1/2011,a/hong_kong/3934/2011,1350.100577896509
a/astrakhan/1/2011,a/astrakhan/1/2011,1184.6098330710347
a/astrakhan/1/2011,a/st._petersburg/27/2011,820.2687100323559
a/astrakhan/1/2011,a/st._petersburg/100/2011,2585.659495015506
a/astrakhan/1/2011,a/hong_kong/5659/2012,1503.8930259971928
a/astrakhan/1/2011,a/south_africa/3626/2013,1012.2468356484733
a/astrakhan/1/2011,a/slovenia/2903/2015,1459.6449598057047
a/astrakhan/1/2011,a/michigan/45/2015,773.844936820221
a/astrakhan/1/2011,a/israel/q_504/2015,1048.6059065482068
a/astrakhan/1/2011,a/paris/1447/2017,2178.8783798816
a/astrakhan/1/2011,a/switzerland/2656/2017,874.2657643228126
a/astrakhan/1/2011,a/switzerland/3330/2017,468.50742270259985
a/astrakhan/1/2011,a/new_jersey/13/2018,2560.0
a/astrakhan/1/2011,a/slovenia/2794/2017,1279.9999999999998
a/astrakhan/1/2011,a/hong_kong/4989/2017,639.9999999999999
a/astrakhan/1/2011,a/michigan/272/2017,639.9999999999999
a/astrakhan/1/2011,a/norway/3433/2018,2031.873346519296
a/astrakhan/1/2011,a/ireland/84630/2018,1279.9999999999998
a/astrakhan/1/2011,a/hong_kong/90/2016,1279.9999999999998
a/astrakhan/1/2011,a/ukraine/6907/2015,639.9999999999999
a/astrakhan/1/2011,a/dominican_republic/7293/2013,1279.9999999999998
a/astrakhan/1/2011,a/england/195/2009,1279.9999999999998
a/astrakhan/1/2011,a/auckland/3/2009,1810.1933598375617
a/astrakhan/1/2011,a/hong_kong/2212/2010,905.0966799187808
a/astrakhan/1/2011,a/voronezh/01/2011,639.9999999999999
a/st._petersburg/27/2011,a/california/07/2009,1113.302085127606
a/st._petersburg/27/2011,a/bayern/69/2009,812.5422132896947
a/st._petersburg/27/2011,a/lviv/n6/2009,814.9751759221931
a/st._petersburg/27/2011,a/christchurch/16/2010,726.8941901389761
a/st._petersburg/27/2011,a/hong_kong/3934/2011,1453.4456692107246
a/st._petersburg/27/2011,a/astrakhan/1/2011,1310.1217219735279
a/st._petersburg/27/2011,a/st._petersburg/27/2011,917.5639732325891
a/st._petersburg/27/2011,a/st._petersburg/100/2011,2868.3206461685977
a/st._petersburg/27/2011,a/hong_kong/5659/2012,1646.9310694520693
a/st._petersburg/27/2011,a/south_africa/3626/2013,1098.7055707941392
a/st._petersburg/27/2011,a/slovenia/2903/2015,2001.2212160503857
a/st._petersburg/27/2011,a/michigan/45/2015,1097.2722980519345
a/st._petersburg/27/2011,a/israel/q_504/2015,1236.0716315988955
a/st._petersburg/27/2011,a/paris/1447/2017,2416.318240465137
a/st._petersburg/27/2011,a/slovenia/2794/2017,1279.9999999999998
a/st._petersburg/27/2011,a/switzerland/2656/2017,1279.9999999999998
a/st._petersburg/27/2011,a/switzerland/3330/2017,639.9999999999999
a/st._petersburg/27/2011,a/hong_kong/4989/2017,639.9999999999999
a/st._petersburg/27/2011,a/michigan/272/2017,1279.9999999999998
a/st._petersburg/27/2011,a/hong_kong/90/2016,2560.0
a/st._petersburg/27/2011,a/ukraine/6907/2015,639.9999999999999
a/st._petersburg/27/2011,a/dominican_republic/7293/2013,1279.9999999999998
a/st._petersburg/27/2011,a/england/195/2009,1279.9999999999998
a/st._petersburg/27/2011,a/auckland/3/2009,1279.9999999999998
a/st._petersburg/27/2011,a/hong_kong/2212/2010,1279.9999999999998
a/st._petersburg/100/2011,a/california/07/2009,998.1753516048207
a/st._petersburg/100/2011,a/bayern/69/2009,705.5248533170189
a/st._petersburg/100/2011,a/lviv/n6/2009,752.894074656181
a/st._petersburg/100/2011,a/christchurch/16/2010,763.7888958869838
a/st._petersburg/100/2011,a/hong_kong/3934/2011,1453.4456692107233
a/st._petersburg/100/2011,a/astrakhan/1/2011,1344.9684974761217
a/st._petersburg/100/2011,a/st._petersburg/27/2011,947.3932401219809
a/st._petersburg/100/2011,a/st._petersburg/100/2011,2835.160937625173
a/st._petersburg/100/2011,a/hong_kong/5659/2012,1932.5457925843111
a/st._petersburg/100/2011,a/south_africa/3626/2013,1028.3663700056093
a/st._petersburg/100/2011,a/slovenia/2903/2015,1846.0552057610762
