Season,A/H3N2,A/H1N1,B/Victoria,B/Yamagata,,
2023-2024 NH,A/Darwin/9/2021,A/Victoria/4897/2022,B/Austria/1359417/2021,B/Phuket/3073/2013,Egg-based Vaccines,
2023-2024 NH,A/Darwin/6/2021,A/Wisconsin/67/2022,B/Austria/1359417/2021,B/Phuket/3073/2013,Cell- or recombinant-based Vaccines,
2023 SH,A/Darwin/9/2021,A/Sydney/5/2021,B/Austria/1359417/2021,B/Phuket/3073/2013,Egg-based Vaccines,
2023 SH,A/Darwin/6/2021,A/Sydney/5/2021,B/Austria/1359417/2021,B/Phuket/3073/2013,Cell- or recombinant-based Vaccines,
2022-2023 NH,A/Darwin/9/2021,A/Victoria/2570/2019,B/Austria/1359417/2021,B/Phuket/3073/2013,Egg-based Vaccines,
2022-2023 NH,A/Darwin/6/2021,A/Wisconsin/588/2019,B/Austria/1359417/2021,B/Phuket/3073/2013,Cell- or recombinant-based Vaccines,
2022 SH,A/Darwin/9/2021,A/Victoria/2570/2019,B/Austria/1359417/2021,B/Phuket/3073/2013,Egg-based Vaccines,
2022 SH,A/Darwin/6/2021,A/Wisconsin/588/2019,B/Austria/1359417/2021,B/Phuket/3073/2013,Cell- or recombinant-based Vaccines,
2021-2022 NH,A/Cambodia/e0826360/2020,A/Victoria/2570/2019,B/Washington/02/2019,B/Phuket/3073/2013,Egg-based Vaccines,
2021-2022 NH,A/Cambodia/e0826360/2020,A/Wisconsin/588/2019,B/Washington/02/2019,B/Phuket/3073/2013,Cell- or recombinant-based Vaccines,
2021 SH,A/Hong Kong/2671/2019,A/Victoria/2570/2019,B/Washington/02/2019,B/Phuket/3073/2013,Egg-based Vaccines,
2021 SH,A/Hong Kong/45/2019,A/Wisconsin/588/2019,B/Washington/02/2019,B/Phuket/3073/2013,Cell- or recombinant-based Vaccines,
2020-2021 NH,A/Hong Kong/2671/2019,A/Guangdong-Maonan/SWL1536/2019,B/Washington/02/2019,B/Phuket/3073/2013,Egg-based Vaccines,
2020-2021 NH,A/Hong Kong/45/2019,A/Hawaii/70/2019,B/Washington/02/2019,B/Phuket/3073/2013,Cell- or recombinant-based Vaccines,
2020 SH,A/South Australia/34/2019,A/Brisbane/02/2018,B/Washington/02/2019,B/Phuket/3073/2013,,
2019-2020 NH,A/Kansas/14/2017,A/Brisbane/02/2018,B/Colorado/06/2017,B/Phuket/3073/2013,,
2019 SH,A/Switzerland/8060/2017,A/Michigan/45/2015,B/Colorado/06/2017,B/Phuket/3073/2013,,
2018-2019 NH,A/Singapore/INFIMH-16-0019/2016,A/Michigan/45/2015,B/Colorado/06/2017,B/Phuket/3073/2013,,
2018 SH,A/Singapore/INFIMH-16-0019/2016,A/Michigan/45/2015,B/Brisbane/60/2008,B/Phuket/3073/2013,,
2017-2018 NH,A/Hong Kong/4801/2014,A/Michigan/45/2015,B/Brisbane/60/2008,B/Phuket/3073/2013,,
2017 SH,A/Hong Kong/4801/2014,A/Michigan/45/2015,B/Brisbane/60/2008,B/Phuket/3073/2013,,
2016-2017 NH,A/Hong Kong/4801/2014,A/California/07/2009,B/Brisbane/60/2008,B/Phuket/3073/2013,,
2016 SH,A/Hong Kong/4801/2014,A/California/07/2009,B/Brisbane/60/2008,B/Phuket/3073/2013,,
2015-2016 NH,A/Switzerland/9715293/2013,A/California/07/2009,B/Brisbane/60/2008,B/Phuket/3073/2013,,
2015 SH,A/Switzerland/9715293/2013,A/California/07/2009,B/Brisbane/60/2008,B/Phuket/3073/2013,,
2014-2015 NH,A/Texas/50/2012,A/California/07/2009,B/Brisbane/60/2008,B/Massachusetts/2/2012,,
2014 SH,A/Texas/50/2012,A/California/07/2009,B/Brisbane/60/2008,B/Massachusetts/2/2012,,
2013-2014 NH,A/Texas/50/2012,A/California/07/2009,B/Brisbane/60/2008,B/Massachusetts/2/2012,,
2013 SH,A/Victoria/361/2011 ,A/California/07/2009,B/Brisbane/60/2008,B/Wisconsin/1/2010,,
2012-2013 NH,A/Victoria/361/2011,A/California/07/2009,,B/Wisconsin/1/2010,,
2012 SH,A/Perth/16/2009,A/California/07/2009,B/Brisbane/60/2008,,,
2011-2012 NH,A/Perth/16/2009,A/California/07/2009,B/Brisbane/60/2008,,,
2011 SH,A/Perth/16/2009,A/California/07/2009,B/Brisbane/60/2008,,,
2010-2011 NH,A/Perth/16/2009,A/California/07/2009,B/Brisbane/60/2008,,,
