year,model,score,ve,subtype
2012,Escapability score (prediction),-0.349228,39.0,A/H3N2
2012,Escapability score,-1.2585684331378495,39.0,A/H3N2
2012,Last(6M),0.006426735218508997,39.0,A/H3N2
2012,HI median,-0.32627328047063653,39.0,A/H3N2
2013,Escapability score (prediction),-0.5019769999999999,54.0,A/H1N1
2013,Escapability score,-0.25015383852508083,54.0,A/H1N1
2013,Last(6M),0.0,54.0,A/H1N1
2013,HI median,-0.6612298497636994,54.0,A/H1N1
2014,Escapability score (prediction),-3.35341,6.0,A/H3N2
2014,Escapability score,-5.133292012835023,6.0,A/H3N2
2014,Last(6M),0.0,6.0,A/H3N2
2014,HI median,-2.7689694424208406,6.0,A/H3N2
2015,Escapability score (prediction),-0.238557,45.0,A/H1N1
2015,Escapability score,-0.3736360338123503,45.0,A/H1N1
2015,Last(6M),0.0,45.0,A/H1N1
2015,HI median,-0.5934526317512225,45.0,A/H1N1
2016,Escapability score (prediction),-1.5945900000000002,33.0,A/H3N2
2016,Escapability score,-1.7615305277178996,33.0,A/H3N2
2016,Last(6M),0.08896271686969362,33.0,A/H3N2
2016,HI median,-1.765883635462518,33.0,A/H3N2
2017,Escapability score (prediction),-1.484745,22.0,A/H3N2
2017,Escapability score,-1.9039241456635108,22.0,A/H3N2
2017,Last(6M),0.000234000234000234,22.0,A/H3N2
2017,HI median,-1.632525769131516,22.0,A/H3N2
2017,Escapability score (prediction),-0.123189,62.0,A/H1N1
2017,Escapability score,-0.3617451565737158,62.0,A/H1N1
2017,Last(6M),0.17725118483412322,62.0,A/H1N1
2017,HI median,-0.3629200992095178,62.0,A/H1N1
2018,Escapability score (prediction),-1.857685,9.0,A/H3N2
2018,Escapability score,-2.696965155665695,9.0,A/H3N2
2018,Last(6M),0.0,9.0,A/H3N2
2018,HI median,-1.4241417114956825,9.0,A/H3N2
2018,Escapability score (prediction),-0.3176685,44.0,A/H1N1
2018,Escapability score,-0.6377378611334418,44.0,A/H1N1
2018,Last(6M),0.0014961101137043686,44.0,A/H1N1
2018,HI median,-0.42089348883273775,44.0,A/H1N1
2019,Escapability score (prediction),-0.598433,30.0,A/H1N1
2019,Escapability score,-2.050202489929277,30.0,A/H1N1
2019,Last(6M),0.000894054537326777,30.0,A/H1N1
2019,HI median,-0.8084085715304858,30.0,A/H1N1
